css-175oi2r href,css-9pa8cd src,ID,css-1jxf684 2,css-1jxf684 3,css-146c3p1,Comments,css-1jxf684 5,comment repost,comment react,comment view,css-175oi2r href 4,css-146c3p1 href,r-4qtqp9 src,r-4qtqp9 src 2
https://x.com/greg16676935420,https://pbs.twimg.com/profile_images/1581014308397502464/NPogKMyk_normal.jpg,greg,@greg16676935420,Subscribe,Click to Subscribe to greg16676935420,Never knew how much I needed to see bunnies jumping on a trampoline,0:04,Readers added context they thought people might want to know,This video is AI generated and can be quite easy to spot as some of the bunnies straight-up disappear while jumping.,captechu.edu/blog/how-spot-É??,https://x.com/LeilaAsfour404,,,
https://x.com/PuppyCyborg,https://pbs.twimg.com/profile_images/1943599187054202880/CuY1O_i4_normal.jpg,Cyborg Puppy,@PuppyCyborg,?˙,28-Jul,"Oh, bummer.  It's AI.  The last rabbit to start jumping vanishes into another rabbit.",28,31,3.3K,171K,https://x.com/PuppyCyborg/status/1949667982181060898/analytics,https://x.com/PuppyCyborg/status/1949667982181060898,,
https://x.com/greg16676935420,https://pbs.twimg.com/profile_images/1581014308397502464/NPogKMyk_normal.jpg,greg,@greg16676935420,?˙,28-Jul,I just watched again and I think he just fell off the trampoline,46,7,548,144K,https://x.com/greg16676935420/status/1949680112963903861/analytics,https://x.com/greg16676935420/status/1949680112963903861,,
,,Show replies,,,,,,,,,,,,
https://x.com/DealsDispatch,https://pbs.twimg.com/profile_images/1990636569867288576/z0xIkRyo_normal.jpg,Deals Dispatch,@DealsDispatch,?˙,28-Jul,"Also, this is 100% AI",3,3,992,104K,https://x.com/DealsDispatch/status/1949656542082482247/analytics,https://x.com/DealsDispatch/status/1949656542082482247,,
https://x.com/greg16676935420,https://pbs.twimg.com/profile_images/1581014308397502464/NPogKMyk_normal.jpg,greg,@greg16676935420,?˙,28-Jul,I agree itÉ??s 100% Adorably Innocent,9,3,498,90K,https://x.com/greg16676935420/status/1949680022555423118/analytics,https://x.com/greg16676935420/status/1949680022555423118,,
https://x.com/real_davew87,https://pbs.twimg.com/profile_images/1973828090787999751/BF8zGYVA_normal.jpg,Suburban Cowboy Dave - Proud Veteran & MAGA,@real_davew87,?˙,28-Jul,They stopped having jumping contests because one of them kept winning by a hare,7,2,250,119K,https://x.com/real_davew87/status/1949656266646950210/analytics,https://x.com/real_davew87/status/1949656266646950210,https://abs-0.twimg.com/emoji/v2/svg/1f1fa-1f1f8.svg,
https://x.com/greg16676935420,https://pbs.twimg.com/profile_images/1581014308397502464/NPogKMyk_normal.jpg,greg,@greg16676935420,?˙,28-Jul,I didnÉ??t know that,3,44,100K,,https://x.com/greg16676935420/status/1949680375141200082/analytics,https://x.com/greg16676935420/status/1949680375141200082,,
https://x.com/ManifoldMarkets,https://pbs.twimg.com/profile_images/1481843525272711170/Ka_-ZnZd_normal.jpg,Manifold,@ManifoldMarkets,?˙,28-Jul,this bunny got completely osmosed,4,1,25K,187,https://x.com/ManifoldMarkets/status/1949667288044429796/analytics,https://x.com/ManifoldMarkets/status/1949667288044429796,https://abs-0.twimg.com/emoji/v2/svg/1f62d.svg,
https://x.com/greg16676935420,https://pbs.twimg.com/profile_images/1581014308397502464/NPogKMyk_normal.jpg,greg,@greg16676935420,Subscribe,Click to Subscribe to greg16676935420,Never knew how much I needed to see bunnies jumping on a trampoline,0:07 / 0:08,Readers added context they thought people might want to know,This video is AI generated and can be quite easy to spot as some of the bunnies straight-up disappear while jumping.,captechu.edu/blog/how-spot-É??,https://x.com/LeilaAsfour404,,,
https://x.com/danielcberk,https://pbs.twimg.com/profile_images/1973036112718311424/fBQ66iC8_normal.jpg,Daniel Berk,@danielcberk,?˙,28-Jul,Did you have their permission to film this? If not please delete this post and repost it without the bunnies in the shot,2,60,13K,,https://x.com/danielcberk/status/1949656487669743666/analytics,https://x.com/danielcberk/status/1949656487669743666,,https://abs-0.twimg.com/emoji/v2/svg/1f41d.svg
https://x.com/MoooPapa,https://pbs.twimg.com/profile_images/1923928539419516928/69jj5POz_normal.jpg,Papa Mooo,@MoooPapa,?˙,28-Jul,How bout some racoons?,3,24,1.7K,,https://x.com/MoooPapa/status/1949665864992665950/analytics,https://x.com/MoooPapa/status/1949665864992665950,https://abs-0.twimg.com/emoji/v2/svg/1f528.svg,https://abs-0.twimg.com/emoji/v2/svg/1f1fa-1f1f8.svg
https://x.com/Chesschick01,https://pbs.twimg.com/profile_images/1672319913925419014/HD2CDQOv_normal.jpg,Natalie F Danelishen,@Chesschick01,?˙,28-Jul,I donÉ??t even care if itÉ??s AI,1,26,12K,,https://x.com/Chesschick01/status/1949671399636849018/analytics,https://x.com/Chesschick01/status/1949671399636849018,,
https://x.com/monadbull,https://pbs.twimg.com/profile_images/1985409252006023168/vZ5nFrYg_normal.jpg,monadbull É??,@monadbull,?˙,28-Jul,wow this is totally real,1,1,4.4K,20,https://x.com/monadbull/status/1949655757919592818/analytics,https://x.com/monadbull/status/1949655757919592818,,
https://x.com/MoooPapa,https://pbs.twimg.com/profile_images/1923928539419516928/69jj5POz_normal.jpg,Papa Mooo,@MoooPapa,?˙,28-Jul,How bout some racoons?,3,24,1.7K,0:05,https://x.com/MoooPapa/status/1949665864992665950/analytics,https://x.com/MoooPapa/status/1949665864992665950,https://abs-0.twimg.com/emoji/v2/svg/1f528.svg,https://abs-0.twimg.com/emoji/v2/svg/1f1fa-1f1f8.svg
https://x.com/KevinOConnor,https://pbs.twimg.com/profile_images/1909330823796371457/ORRR38oc_normal.jpg,Kevin O'Connor,@KevinOConnor,?˙,28-Jul,The video needs to be longer,2,20,9.2K,,https://x.com/KevinOConnor/status/1949656277191156079/analytics,https://x.com/KevinOConnor/status/1949656277191156079,,
https://x.com/zapgigax,https://pbs.twimg.com/profile_images/1911542227219693568/mTlCyiZw_normal.jpg,Zap,@zapgigax,?˙,28-Jul,is this video AI?,2,17,47K,@grok,https://x.com/zapgigax/status/1949663284451496112/analytics,https://x.com/zapgigax/status/1949663284451496112,,
https://x.com/CyberMikeOG,https://pbs.twimg.com/profile_images/1910577673233162240/7acRGdGp_normal.jpg,CyberMike,@CyberMikeOG,?˙,28-Jul,Greg please come pick up your cat. IÉ??m done watching him.,2,12,2.2K,,https://x.com/CyberMikeOG/status/1949723637168128159/analytics,https://x.com/CyberMikeOG/status/1949723637168128159,,https://abs-0.twimg.com/emoji/v2/svg/2b55.svg
https://x.com/MoooPapa,https://pbs.twimg.com/profile_images/1923928539419516928/69jj5POz_normal.jpg,Papa Mooo,@MoooPapa,?˙,28-Jul,How bout some racoons?,3,24,1.7K,0:03 / 0:07,https://x.com/MoooPapa/status/1949665864992665950/analytics,https://x.com/MoooPapa/status/1949665864992665950,https://abs-0.twimg.com/emoji/v2/svg/1f528.svg,https://abs-0.twimg.com/emoji/v2/svg/1f1fa-1f1f8.svg
https://x.com/Fityeth,https://pbs.twimg.com/profile_images/1962358280954757120/-SIsqxt-_normal.jpg,fity.eth,@Fityeth,?˙,28-Jul,Kids like them too,1,8,12K,,https://x.com/Fityeth/status/1949657375549579525/analytics,https://x.com/Fityeth/status/1949657375549579525,,
